InvoiceID,Branch,City,CustomerType,Gender,ProductLine,UnitPrice,Quantity,Tax,Total,Date,Time,Payment,Rating, Revwithout tax, MonthName,DayOfWeek,HourOfDay,ProfitEstimate,tax, total
202-61-1860,A,Yangon,Normal,Female,Sports and travel,77.86,1.00,3.89,81.75,2019-01-01,14:53,Cash,4.10,77.86,January,Tuesday,14,23.358,3.893,101.218
370-81-6734,C,Naypyitaw,Member,Female,Health and Beauty,82.44,7.00,28.85,605.93,2019-01-02,09:25,Cash,8.70,577.08,January,Wednesday,9,173.124,28.854,750.204
221-92-5426,B,Mandalay,Member,Male,Baby care,11.62,7.00,4.07,85.41,2019-01-03,18:26,Credit card,7.70,81.34,January,Thursday,18,24.402,4.067,105.742
558-97-9322,A,Yangon,Normal,Male,Baby care,96.65,4.00,19.33,405.93,2019-01-04,18:14,Cash,8.20,386.6,January,Friday,18,115.98,19.33,502.58
761-62-1769,C,Naypyitaw,Normal,Male,Sports and travel,75.40,9.00,33.93,712.53,2019-01-05,15:06,Cash,9.00,678.6,January,Saturday,15,203.58,33.93,882.18
443-39-7949,A,Yangon,Member,Male,Food and beverages,37.43,5.00,9.36,196.51,2019-01-06,14:45,Credit card,8.80,187.15,January,Sunday,14,56.145,9.3575,243.295
485-73-6051,B,Mandalay,Normal,Female,Fashion accessories,84.65,4.00,16.93,355.53,2019-01-07,15:59,Ewallet,9.80,338.6,January,Monday,15,101.58,16.93,440.18
376-42-5555,B,Mandalay,Member,Male,Home and lifestyle,35.34,7.00,12.37,259.75,2019-01-08,19:12,Cash,7.20,247.38,January,Tuesday,19,74.214,12.369,321.594
413-31-7396,C,Naypyitaw,Member,Female,Food and beverages,88.55,4.00,17.71,371.91,2019-01-09,18:16,Credit card,6.90,354.2,January,Wednesday,18,106.26,17.71,460.46
847-98-9666,B,Mandalay,Member,Male,Electronic accessories,20.13,3.00,3.02,63.41,2019-01-10,20:16,Cash,6.40,60.39,January,Thursday,20,18.117,3.0195,78.507
158-51-3047,A,Yangon,Member,Female,Baby care,73.33,9.00,33.00,692.97,2019-01-11,15:35,Credit card,4.90,659.97,January,Friday,15,197.991,32.9985,857.961
575-69-1189,B,Mandalay,Normal,Female,Sports and travel,58.66,8.00,23.46,492.74,2019-01-12,12:07,Ewallet,7.40,469.28,January,Saturday,12,140.784,23.464,610.064
786-71-5658,A,Yangon,Member,Female,Sports and travel,18.69,1.00,0.93,19.62,2019-01-13,12:25,Ewallet,5.70,18.69,January,Sunday,12,5.607,0.9345,24.297
